NaN	word	sent1	sent2	mean	annotator1	annotator2	annotator3
429	дядька	"-- Эх, братики, покурить бы теперь! -- вырывается со вздохом у ""<b><i>дядьки</i></b>"" Веденяпина."	-- На свиданку, что ли -- спросил <b><i>дядька</i></b>, снова покосившись, но уже приветливей.	2.3333333333333335	1	2	4
430	дядька	"[...] Под влиянием ли бесед с <b><i>дядьками</i></b> или по чему другому, только игры наши в рекреационные часы, особенно летом, стали принимать иной характер, чем прежде: у нас появились самодельные знамена, палки заменяли нам ружья и пики, на головах показались бумажные шляпы с такими же султанами; мы играли в ""казаки"", в ""оренбургские уланы"" и т. п., а вскоре завелась и еще одна забава."	После третьей, когда пружина застолья начинала стремительно разжиматься, и близкий восторг в душах заставлял сидящих за столом говорить громче, а глаза смотрели веселее, <b><i>дядька</i></b> начинал половинить стопки, а то и пропускать вовсе.	3.0	4	1	4
431	дядька	Недовольство Угарова разделял вполне его крепостной человек Иван, бывший когда-то камердинером его отца и теперь приставленный к нему в качестве <b><i>дядьки</i></b>.	Краем глаза я наблюдал за лестницей и вскоре увидел солидного <b><i>дядьку</i></b> с пузом и в очках, который, пыхтя и отдуваясь, поднимался на второй этаж.	2.6666666666666665	3	4	1
432	дядька	Множество и легкость добычи охладили, однако, горячность мою и моего <b><i>дядьки</i></b>, который, право, горячился не меньше меня.	Только что Аська прогнала <b><i>дядьку</i></b>, который хотел купить коку, а теперь собирается раздавать воду без денег.	3.0	3	2	4
433	дядька	"После сего Вихорь-королевич, откланявшись королю, пошел на свой корабль и объявил о всем своему <b><i>дядьке</i></b>, который отвечал ему: ""Не правду ли я говорил вашему величеству, что королевна вам только насмеется""."	Позвонила и просила пустить на пару дней хорошего <b><i>дядьку</i></b>.	1.6666666666666667	3	1	1
434	дядька	Вадима Петровича начинало брать раздражение и на бывшего своего <b><i>дядьку</i></b>.	-- Что за ярмарка -- Так День Нэзалэжности! -- отвечает <b><i>дядька</i></b> в национальном гуцульском костюме, с приклеенными усами.	1.0	1	1	1
435	дядька	Вернувшись к себе, Абрам, красный и злой, послал за <b><i>дядькой</i></b>, чтобы ему нажаловаться, а Воробушкин побежал к племяннице.	Вместо нее стоял огромный бородатый <b><i>дядька</i></b>, зычным голосом выкрикивающий заголовки самых скандальных или сенсационных материалов, опубликованных в разложенных перед ним изданиях.	3.0	2	3	4
436	дядька	"""Подал бы я, -- думалось мне, -- доверчиво мудрецу руку, как дитя взрослому, стал бы внимательно слушать, и, если понял бы настолько, насколько ребенок понимает толкования <b><i>дядьки</i></b>, я был бы богат и этим скудным разумением""."	И я уже успела побывать с бабушкой в Бутырке и поговорить с <b><i>дядькой</i></b> через решетку.	2.3333333333333335	2	4	1
437	дядька	Добрый Семен Иваныч приехал к моему отцу и сказал, что губернатор переселяет меня к себе на дачу, где я буду жить с его племянником, и что ему, Семену Иванычу, поручено быть моим <b><i>дядькою</i></b>.	Тут нами занялся распорядитель, <b><i>дядька</i></b> лет сорока, одетый в хорошее, дорогое пальто и качественную обувь.	1.0	1	1	1
438	дядька	И лошадь ему запряги, и воз утяни веревкой; словом сказать, ему надо <b><i>дядек</i></b>.	"Мы знали многих <b><i>дядек</i></b>, идущих под ""свечками""."	3.0	4	4	1
439	дядька	-- Слушай, -- говорил он вдруг, выскакивая к Бодростину из-за стога сена на лугу, пред всем народом, -- слушай, добрая душа: сошли старого <b><i>дядьку</i></b> на поселение!	Шевеля рыжими усами, он был поэтическим <b><i>дядькой</i></b> для молодых.	3.6666666666666665	4	4	3
440	дядька	Покамест в продолжение первых дней он разбирался в своих впечатлениях, два человека поневоле стали центральными фигурами в его мировоззрении: Яков Яковлевич фон Шеппе -- иначе Петух -- и отделенный <b><i>дядька</i></b> Томаш Циотух, родом литвин, которого воспитанники называли просто Четухой.	-- Расскажи про наёмников, <b><i>дядька</i></b> Аптахар!	2.3333333333333335	2	1	4
441	дядька	В помощь дежурным дамам при каждой роте состояли двое <b><i>дядек</i></b> из заслуженных отставных унтер-офицеров, которые дежурили через день и находились при воспитанниках только в рекреационное время.	У конечных станций метро подозрительные <b><i>дядьки</i></b> и тетки торгуют не менее подозрительными живыми и вареными раками: очень дешево и очень опасно -- это какие-то доходяги, а не раки.	2.0	1	1	4
442	дядька	-- Да сверх того на нас есть другая беда, Миша: у нас есть <b><i>дядьки</i></b>.	До него к ней иногда приезжал физкультурник их школы, добрый и хороший <b><i>дядька</i></b>, но, как и полагается, выпивоха.	3.0	4	1	4
443	дядька	Войско Данила было очень утомлено, и старый Мирослав, бывший <b><i>дядька</i></b> его, отсоветовал ему идти на них.	Не было у тебя никакого <b><i>дядьки</i></b>, и все.	3.6666666666666665	3	4	4
444	дядька	Ну и воспитатель же этот <b><i>дядька</i></b>, нечего сказать. неизвестный.	У поздней дочери <b><i>дядьки</i></b> великолепные руки пианистки.	3.0	4	1	4
445	дядька	Когда Пушкин с бароном Дельвигом спустились в уединенный карцер, то застали уже там всех за работой: Пущин толок сахар, Малиновский бил яйца, а <b><i>дядька</i></b> Фома возился около дымящегося самовара.	Два <b><i>дядьки</i></b> ухватили его за шиворот.	3.3333333333333335	2	4	4
446	дядька	Немало горя причинила эта моя болезнь не только моей нежной матери, но и доброму <b><i>дядьке</i></b>, просиживавшим целы дни у моей кровати.	"<b><i>Дядька</i></b> в углу так же долбит свой ""макинтош""."	3.0	1	4	4
447	дядька	В первые дни Теркин не верил своим глазам: ни мрачного нумера с вонючим тюфяком, ни решеток, ни зверских <b><i>дядек</i></b>; ходи, где дозволено, по двору, по саду, работай в поле, на гумне или в мастерской.	Летчик -- крупный лысый <b><i>дядька</i></b> с умными глазами -- допил кефир и теперь складывал в школьный пенал кузнечиков, которых собирал с замасленной овчинки.	3.3333333333333335	4	3	3
448	дядька	Я обидно стал упрекать <b><i>дядьку</i></b>, что он выдумывает на меня небылицу, заверяя его, что я только хочу пройтиться по городу.	Покрутилась я там, поболтала с <b><i>дядьками</i></b> и ушла.	3.0	2	4	nan
449	дядя	<b><i>Дядя</i></b> не соглашался на брак мой, готовя меня в духовное звание, и, когда узнал, что я женился, написал ко мне, чтоб я не ожидал от него никакого пособия, что он предоставляет меня судьбе моей.	Я, милый мой, уже не в том возрасте, чтобы на <b><i>дядю</i></b> пахать.	1.0	1	1	1
450	дядя	Андрей Ольгердович Полоцкий, держав сторону <b><i>дяди</i></b>, ушел во Псков, дал клятву быть верным другом россиян и приехал в Москву служить великому князю.	-- Передам, -- твердо ответил <b><i>дядя</i></b> Кязым и затянулся цигаркой.	2.6666666666666665	1	4	3
451	дядя	-- Откуда ж тебя бог несет, <b><i>дядя</i></b> Савелий -- спросил Прокудин.	-- Все-таки ты больше похож на меня, чем я на тебя, -- сказал <b><i>дядя</i></b> Жора брату, не притрагиваясь к закуске.	3.0	4	1	4
452	дядя	-- В первый раз <b><i>дядя</i></b> принял хорошо.	Мальчики Гробовы из Октября вошли в дом <b><i>дяди</i></b> вслед за двоюродными братьями и сестрами и поплакали вместе с ними.	4.0	4	4	4
453	дядя	Восприемниками от купели были <b><i>дядя</i></b> мой родной барон Александр Николаевич Строганов и сестра моя княжна Прасковья Михайловна, пятилетний ребенок.	И как все это можно не увидеть с само- или вертолета, когда даже со спутника спичечный коробок, говорят, виден вполне отчетливо И еще того понять не могу, а как они снабжают себя одеждой, оружием и всем прочим Деньги у них, может быть, водятся (<b><i>дядя</i></b> Осама подкидывает), но ведь на них надо еще что-то купить и доставить.	2.0	1	4	1
454	дядя	-- Скатертью дорога! -- махнул рукой Антон, когда фигура <b><i>дяди</i></b> скрылась за первым поворотом.	Гусь начинал думать неладное, но Ума, вернувшись однажды из маленького чума своего <b><i>дяди</i></b>, которому она носила еду, сказала мужу: -- Не иначе, он слышит птиц за полдня полета.	4.0	4	4	4
455	дядя	На вопросы <b><i>дяди</i></b> отвечала нехотя.	-- Тут, <b><i>дядя</i></b> Костя, в основе лежит совершенно новая и очень сильная идея!	3.0	4	4	1
456	дядя	-- Ну так как же Так и писать, что, мол, кланяется тебе <b><i>дядя</i></b> Стручок -- Да ладно ли так-то -- На что лучше.	И Софичка продолжала ей помогать, втайне от <b><i>дяди</i></b> Кязыма, потому что новая квартира требовала новой мебели.	4.0	4	4	4
457	дядя	-- Сосед Марка, Лука Марка, что к <b><i>дяде</i></b> пришел Аль на кордон Ястреб встрепенулся от крика хозяина и захлопал крыльями, порываясь на своей привязи.	Еще <b><i>дядя</i></b> Антон советовал к себе с долей иронии и небрежения относиться, а в качестве приема предлагал задуматься о дроби, где в знаменателе четыре с половиной миллиарда, а вот в числителе всего лишь единица.	3.6666666666666665	4	4	3
458	дядя	"""А <b><i>дядя</i></b> Кирьян прошлой весной так трех зайцев затравил!"" -- рассказывал он."	-- Вот видишь, -- успокаиваясь, заметил Сафар, -- ты идешь по стопам сумасшедшего <b><i>дяди</i></b>.	4.0	4	4	4
459	дядя	"Но <b><i>дядя</i></b> мой говорил, что по большой части похвала Хераскова ограничивалась словами: ""Гладко, очень гладко!"""	"На Волгоградке угодив в то самое, что англичане называют ""heavy traffic"", -- хорошо еще, что сдавать кандидатский минимум Саша начала с английского, а не с марксистско-ленинской философии, ревизию которой уже затевали высоколобые <b><i>дяди</i></b>, в то время их было и не оспорить, и не постичь, но Саша пыталась, обложилась журналами, где эти самые <b><i>дяди</i></b>, будто старое дедушкино пальто, перелицовывали незыблемое, вырывали друг у друга лоскуты цитат."	1.3333333333333333	1	2	1
460	дядя	-- Обскурантка! -- смеется <b><i>дядя</i></b> и грозит ей пальцем.	<b><i>Дядя</i></b> Миша задышал, задышал.	4.0	4	4	4
461	дядя	-- Кто именно -- Да все здешние и все почти новые, право, -- кроме разве старого <b><i>дяди</i></b>, да и тот новый: вчера только в Петербург приехал, по каким-то там делишкам; в пять лет по разу и видимся.	-- Юрка-Аюрка, где твоя тужурка -- смеется <b><i>дядя</i></b> Саня.	4.0	4	4	4
462	дядя	И один за другим потекли эти избитые, всему миру известные рассказы, похожие один на другой, как две капли воды: о Ротшильде, пришедшем в Париж пешком и продававшем сначала спички на улицах, а потом имевшем сто миллионов годового дохода, о Вандербильте, о подземных находках, о карточных выигрышах, о биржевой спекуляции, о неожиданных американских миллионерах-<b><i>дядях</i></b>.	-- Ой, да ты жидовка, -- сказал <b><i>дядя</i></b> Гена, засовывая деньги в бардачок.	2.6666666666666665	4	3	1
463	дядя	<b><i>Дядя</i></b> Павел пил чай и потом зашел ко мне.	Мы с Лидой приехали в Москву и остановились у <b><i>дяди</i></b> Сережи в Архангельском.	4.0	4	4	4
464	дядя	"""И затылок подбрил!"" -- негодуя, отметил Матвей Савельев, пятясь назад и осторожно прикрывая калитку, но -- на крыльцо вышел <b><i>дядя</i></b> Марк, возглашая как-то особенно шутливо: -- А-а, пож-жалуйте!"	Родившийся у них сын был значительно младше Лешиного, которому приходился <b><i>дядей</i></b>.	4.0	4	4	nan
465	дядя	Помнишь ли родные леса Помнишь ли могущего отца Ольгерда, сильного <b><i>дядю</i></b> Кейстутия, грозного брата Витовта!	По воскресеньям приезжали в гости рабочие в выходных костюмах, я их запомнила как <b><i>дядю</i></b> Лешу, тетю Фиму, <b><i>дядю</i></b> Петю.	3.3333333333333335	4	2	4
466	дядя	"В 2 часа на ""Волжском"" приехал <b><i>дядя</i></b>."	-- А вон вторая половина, -- показал <b><i>дядя</i></b>.	4.0	4	4	nan
467	дядя	Сортировщицы приходили с визитами только ради формы и у тетки не заискивали ничего, зная от мужей, что <b><i>дядя</i></b> в конторе ни рыба ни мясо.	"Нравился мне ""<b><i>дядя</i></b> Андрей"" чрезвычайно."	3.0	4	4	1
468	дядя	-- <b><i>Дядя</i></b>! не довольно ли не оставим ли мы этот разговор не поговорим ли по душе, как бывало -- невольно вырвалось у меня.	<b><i>Дядя</i></b> Григория, по всей видимости, принял бы участие в составлении ультиматума к митрополиту Сергию, происходившему на квартире протоиерея Феодора, с которым <b><i>дядя</i></b> был также знаком, но с двадцать шестого года <b><i>дядя</i></b> находился в заключении, откуда не вернулся.	4.0	4	4	4
469	дядя	<b><i>Дядя</i></b> подсунул ему свою табачницу.	-- Так что вы хотите от меня Благословения -- Да, -- сказал <b><i>Дядя</i></b> Тепа, -- именно так.	2.6666666666666665	3	4	1
470	дядя	Ну, а ты как насчет этого -- неожиданно спросил меня <b><i>Дядя</i></b>.	Правда, тогда все так примерно писали.) Шах в ответ пробивал зачеты, отдельную комнату в общаге, приносил справки о моем остеохондрозе, чтобы по четвергам меня не ждали вечером на теории и практике печати, где профессор Гуревич полтора часа размеренным голосом рассказывал, что в газете бывает <b><i>дядя</i></b>, которого все называют редактором, а есть еще <b><i>дядя</i></b> -- заведующий отделом, -- я в это время на рукопашном бое поднимал ногу выше лба.	2.3333333333333335	2	4	1
471	дядя	Ченцов же, по большей части сердя <b><i>дядю</i></b> без всякой надобности разными циническими выходками, вдруг иногда обращался к нему как бы к родной матери своей, с полной откровенностью и даже любовью.	Что касается <b><i>Дяди</i></b> Тепы, он не был <b><i>дядей</i></b>.	2.6666666666666665	4	3	1
472	дядя	В этих запятнанных кровью штанах Штрам виделся в день убийства, вскоре после него, со Скрыжаковым, который не мог не заметить пятен и не связать их с чеками и с намерениями Штрама относительно <b><i>дяди</i></b> одной внутренней связью.	-Сколько их было -Две тети и один <b><i>дядя</i></b>.	3.6666666666666665	4	3	4
473	дядя	-- Ну, спите, -- сказал <b><i>дядя</i></b>.	"Мне гораздо труднее запомнить ""Мой <b><i>дядя</i></b> самых честных правил""."	4.0	4	4	nan
474	дядя	Когда он пришел в дом <b><i>дяди</i></b>, его особенно приветливо встретили кузины и кузен; но Егор Александрович сразу заметил в их лицах какое-то особенное участие и жалость.	Его <b><i>дядя</i></b>, великий князь Николай Николаевич, возглавлявший Совет Государственной Обороны, требовал, чтобы средства были поделены в зависимости от нужд обороны, но ничего не мог поделать.	3.6666666666666665	4	4	3
475	дядя	<b><i>Дядя</i></b> смотрел виновато, и Евсею было неловко, стыдно за него перед хозяином.	Она и <b><i>дядя</i></b> Норман были просто взбешены нашим решением.	4.0	4	4	4
476	дядя	Он вместе с <b><i>дядей</i></b> Сашей Астатуем царапал князя Осташкова, плевал ему в лицо и визжал; в доме, захлебываясь от мстительного восторга, рвал в клочки картины и книги, колотился в дьявольском исступлении.	Адмирал <b><i>дядя</i></b> Павел был, если не считать главнокомандующего, генерала Врангеля, вторым человеком в армаде, отправляющейся из Севастополя.	4.0	4	4	4
477	дядя	Обедал <b><i>дядя</i></b> Владимир.	А как, позволь спросить, ты собираешься все это делать У тебя сколько рук Десять Шестнадцать Или ты рассчитываешь на то, что добрый <b><i>дядя</i></b> Колобок освободит всех сотрудников от раскрытия убийств и изнасилований и бросит всех единым фронтом на работу по Мискарьянц и Коченовой Я хочу услышать от тебя членораздельный ответ -- каковы первоначальные цели и задачи, какой ожидается результат и сколько тебе на это нужно времени.	3.3333333333333335	2	4	4
478	дядя	<b><i>Дядя</i></b> отдал меня, взялся за голову и начал молча ходить, что он делал постоянно.	Одного моего <b><i>дядю</i></b> расстреляли, как потом выяснилось, в Бутово.	3.6666666666666665	3	4	4
479	железо	А крест им слепит глаза и обжигает, как каленым <b><i>железом</i></b>.	Мне нравится сам акт производства материального предмета -- когда из кучи деталей, кусков <b><i>железа</i></b>, лоскутов и полос сизого металла нарождается замысловатая, потребная обществу вещь.	3.0	2	3	4
480	железо	"В 1763 г. парижская академия наук поручила перевести его трактат о <b><i>железе</i></b> на французский язык и напечатала в своем ""Описании искусств и ремесел"", дав отзыв, что эта работа в данной области признается лучшею."	Нет, все-таки человеческие страдания и автомобильное <b><i>железо</i></b> нельзя ставить на одну доску.	2.3333333333333335	4	1	2
481	железо	Мысль этого письма заключалась в следующем: у меня в Киеве, в паровозной и вагонной мастерской имеется громадный паровой молот, и если положить на наковальню громадный кусок <b><i>железа</i></b> и ударить по нем этим молотом, то от этого удара <b><i>железо</i></b> обратится в лист...	Женщины детородного возраста относятся к категории населения, особенно уязвимой к дефициту данного микронутриента, поэтому низкий уровень потребления ими гемового <b><i>железа</i></b> вызывает особое беспокойство [1].	2.0	4	1	1
482	железо	В 1632 г., перед самой войной с Польшей, голландский купец Андрей Виниус с товарищами получил концессию на устройство заводов близ Тулы для выделки чугуна и <b><i>железа</i></b>, обязавшись приготовлять для казны по удешевленным ценам пушки, ядра, ружейные стволы и всякое <b><i>железо</i></b>.	"""После этого, -- громко прошептал Антон Антонович, -- хоть каленым <b><i>железом</i></b> пытай -- ничего не вспомнишь, ни имени, ни факта."	3.0	3	2	4
483	железо	Здесь же есть шведской от драбантов капрал Ригель, который сидит в <b><i>железах</i></b> за побег и за убивство одного черемиса, которого при поимке заколол, оной есть доброй химикус, человек изрядной, желает принять службу до окончания войны за поруками других, однакож я не знаю, кой бы чин полуполковнику годился, а в пробовании металей сказывается весьма искусен, но губернатор сказал, что он его освободить не смеет.	Он придавил рычаги, вездеход захлебнулся воем, сильнее загремел <b><i>железом</i></b> и запрыгал по колеям и ямам.	2.3333333333333335	3	2	2
484	железо	Повсюду подъемные краны, эстакады из дерева и <b><i>железа</i></b>, а по обеим сторонам полотна -- целые горы руды, так давно и в таком количестве нагроможденные, что в тех местах они уже успели обрасти сверху травой.	...Парнишка алкоголик и наркоман, у парнишки панкреонекроз -- отмирание поджелудочной <b><i>железы</i></b>, дело дрянь, но парнишка чем-то симпатичен доктору.	1.0	1	1	1
485	железо	Почти целая наука существует о том, как легче поднять такой-то сорт <b><i>железа</i></b>, как его легче тащить до барки и как класть на место.	"Для исследования процесса шаг за шагом Герхард Эртл использовал ""идеальную"" систему -- чистую поверхность <b><i>железа</i></b> в вакуумной камере, в которую вводится точно дозируемое количество азота."	4.0	4	4	4
486	железо	"Теперь же, поддерживая Розамунду на седле, он думал: ""Словно из <b><i>железа</i></b> слита."	Общение стало виртуальным настолько, что порой кажется, что и ты это всего лишь кусок <b><i>железа</i></b>, правда пока еще думающего <b><i>железа</i></b>.	3.3333333333333335	2	4	4
487	железо	На горе в 2,000 футов высоты, в Уэльсе (Великобритания), найдены доски и листы <b><i>железа</i></b>, снесенные ураганом с домов подгорных селений.	Вахтер мешает заварку в стакане, шуршит газетой и приветливо кивает Татьяне Николаевне, слышится размеренный, как в кузнице, лязг <b><i>железа</i></b>, радио задушевно бубнит что-то про посевы -- уютный провинциальный предбанник большого спорта.	4.0	4	4	4
488	железо	Уголь же везде класть по настоящей цене, ломаное <b><i>железо</i></b>, уступи пред целым четвертою долею.	Совершенно ясно, что жизнь человека важнее военных секретов и <b><i>железа</i></b>.	1.0	1	1	1
489	железо	Итак, Садко отдает предпочтение золоту перед <b><i>железом</i></b>: Садко со своими гуслями как раз попал кстати к царю Водянику.	Это для него начинал вдруг тихонько позванивать и постукивать лист <b><i>железа</i></b> на ржавом куполе собора, для него то вздыхали, то гудели, а то и по-волчьи пели деревья в бору, для него ветер заставлял шипеть береговую волну внизу, у крутого подножья горы, для него свистел пароходик вдали, пароходику вторил буксир, а если была, как и теперь, ясная осень и если случалось, что именно в этот час медленным строем проплывали над горой перелетные серые птицы, тогда казалось Снеткову, что это с ним они прощаются усталыми плачущими голосами.	3.0	4	1	4
490	железо	Последние <b><i>железы</i></b> очень походят на пилорические <b><i>железы</i></b>.	Хронический простатит чаще всего бывает, если в ткань <b><i>железы</i></b> внедрились патогенные микробы -- кишечная палочка, стафилококки, микробактерии туберкулеза, вирусы, грибки и т. д. Возбудитель проникает в <b><i>железу</i></b> по кровеносным и лимфатическим путям как из близлежащих органов -- мочевого пузыря, прямой кишки, мочеиспускательного канала, так и из любых других пораженных органов: скажем, даже из уха, если у человека отит, из придаточных пазух носа при гайморите, из миндалин при тонзиллите.	2.3333333333333335	3	3	1
491	железо	Налево через реку был большой <b><i>железнодорожный</i></b> мост, на него взбежал поезд и, громыхая так, как будто он наносил частые удары молотком по <b><i>железу</i></b>, быстро пронесся и скрылся вдали!	И вот тут-то богатырь помчался на коне на Буш-хана, рубанул на всем скаку его по голове, но только искры посыпались от нее, будто ударил богатырь по <b><i>железу</i></b>.	4.0	4	4	4
492	железо	Но кроме того, читая о том, как грабили, правили, воевали, разоряли (только об этом и речь в истории), невольно приходишь к вопросу: что грабили и разоряли А от этого вопроса к другому: кто производил то, что разоряли Кто и как кормил хлебом весь этот народ Кто делал парчи, сукна, платья, камки, в которых щеголяли цари и бояре Кто ловил черных лисиц и соболей, которыми дарили послов, кто добывал золото и <b><i>железо</i></b>, кто выводил лошадей, быков, баранов, кто строил дома, дворцы, церкви, кто перевозил товары Кто воспитывал и рожал этих людей единого корня Кто блюл святыню религиозную, поэзию народную, кто сделал, что Богд[ан] Хмельн[ицкий] передался России, а не Т[урции] и П[ольше] Народ живет, и в числе отправлений народной жизни есть необходимость людей разоряющих, грабящих, роскошествующих и куражущихся.	Но слух мог обнимать звук, как вещь, он чувствовал в нем тяжесть камня, остроту <b><i>железа</i></b>, легкость выпотрошенной клестом шишки.	2.3333333333333335	4	2	1
493	железо	Если надобно купить и выменять что, то <b><i>железо</i></b> служит вместо монеты.	Его запасы оцениваются в 2,6 млрд т при содержании <b><i>железа</i></b> 63-64%.	2.6666666666666665	3	4	1
494	железо	Как же здесь поступать Надо прежде всего вести исследование так же, как мы вели его на фундальных <b><i>железах</i></b>.	"""С <b><i>железом</i></b> нужно обращаться, как с женщиной."	1.0	1	1	nan
495	железо	Самый новейший матадор государственной политики провозглашал <b><i>железо</i></b> более полноправным, чем самое право.	Сверкая блеском стали Посуда из нержавеющей стали изготавливается, как правило, из сплава <b><i>железа</i></b> с хромом и никелем.	1.3333333333333333	1	1	2
496	железо	Чтобы не опоздать в Пензу на ярмарку и не показаться с Хабибулой в таких местах, где русские власти есть, Хан-Джангар и решил оставить при малом и скудном источнике Паньку с одним конем и раненого Хабибулу, окованного в конских <b><i>железах</i></b>.	Он вез походные кузни, запасное оружие и <b><i>железо</i></b>, снаряжение, холстину для перевязок ран и увечий, шорников с ремнями и кожами и совсем мало продуктов -- только муку да немного соли.	2.0	1	3	nan
497	железо	В вечерней хронике читатели, найдут отчет работы совещания о недостатке <b><i>железа</i></b>.	Ледяные волны перекатываются через шаткие помосты, грохочет листовое <b><i>железо</i></b>, срывается настил, по которому пробираются ползком ополоумевшие от страха люди.	3.0	4	1	4
498	железо	Суля за нас предстательствовать, он только думал о себе и старался, по пословице, ковать <b><i>железо</i></b>, пока горячо.	В зависимости от условий эксплуатации для наращивания изнашиваемых участков поверхностей узлов и деталей могут использоваться слои <b><i>железа</i></b>, хрома, никеля, сплава никель-кобальт; цинк и кадмий можно применить для защитных и протекторных целей; баббиты -- для восстановления подшипников скольжения.	4.0	4	4	4
499	железо	В сей горе нашли много молотов и других орудий римских для выработки <b><i>железа</i></b>, этрусских горшков и проч., доказывающих древность работ, тут бывших.	Предположительно паутинные <b><i>железы</i></b> когда-то были лапками.	1.0	1	1	1
500	железо	Он приподнял их -- под ними оказался кусок кровельного <b><i>железа</i></b>, под <b><i>железом</i></b> -- квадратная дощечка, наконец предо мною открылась большая дыра, уходя под корень.	* Сегодня точно установлена зависимость между уровнем эстрогенов и развитием рака молочной <b><i>железы</i></b>.	1.0	1	1	1
501	железо	Светлый месяц, почти полный, вышел из-за сарая, и через двор легли черные тени, и заблестело <b><i>железо</i></b> на крыше разрушающегося дома.	Создатели не имеющих пока аналогов средств сулят нам с вами настоящие чудеса: кремы для проблемной кожи обещают восстанавливать клетки печени; а препараты для тела -- регулировать функцию надпочечников и щитовидной <b><i>железы</i></b>.	1.0	1	1	1
502	железо	За эту же ночь тело его покрылось темными, багровыми пятнами, и нестерпимую боль, как от раскаленного <b><i>железа</i></b>, чувствовал он от напухающего под мышкой громадного нарыва.	"В некоторых программах были предусмотрены только деньги на ""<b><i>железо</i></b>""."	1.0	1	1	1
503	железо	В Кронштадте у батарей рисбанк и других, ей подобных, необходимо, чтоб сзади был бон в одно бревно, <b><i>железом</i></b> скрепленный.	то есть на одном предприятии плавят руду, изготовляют чугун, переделывают его в <b><i>железо</i></b> и в сталь, а из них изготовляют продукцию -- например, балки, проволоку, рельсы.	4.0	4	4	4
504	железо	Из микроскопических опытов Майергофера и Бухмана явствует, что <b><i>железо</i></b>, медь, золото и др. металлы посредством тщательного растирания с молочным сахаром по правилам гомеопатической фармакотехники постепенно распадаются на все меньшие и меньшие частицы, так что они могут быть обнаружены еще микроскопом в наших низких и средних растираниях, а именно, по наблюдением Майергофена, медь в 6-м делении, <b><i>железо</i></b> в 8-м, платина, золото, серебро и ртуть в 10-м, осадочное олово даже в 14-м делении, и только несовершенство наших оптических инструментов не допускает распознавание металлических частиц в более высоких растираниях.	"Вдохновленные словом ""особняк"", мы протиснулись мимо шипастых кустов ежевики, оказались на полянке и увидели низкое строение, сколоченное из узких темно-желтых досок, самый настоящий сарай, покрытый оцинкованным <b><i>железом</i></b>."	4.0	4	4	4
505	железо	17) Деревянные сундуки ирбитской работы, обитые <b><i>железом</i></b> или цинком, по 4--5 руб. за штуку, разойдутся в Хорассане до 50 шт. в год.	И ещё они боятся <b><i>железа</i></b>.	4.0	4	4	nan
506	железо	Все тела проникала она, и <b><i>железо</i></b>, и камень, и одиноки становились частицы тел, потерявшие связь; и в глубину частиц проникала она, и одиноки становились частицы частиц.	Так, растительность природных экосистем отличается значительным накоплением <b><i>железа</i></b> и марганца из почвы региона, обогащенной <b><i>железистыми</i></b> минералами и сопутствующим марганцем.	2.3333333333333335	2	2	3
